gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022400408,547,PT06M11.00S,4,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Timeout: Regular (Full 4 Short 0),Timeout,Regular,0,0,389
0022400408,549,PT06M11.00S,4,1610612747,LAL,1629629,Reddish,C. Reddish,0,0,0,,0,,,0,v,SUB: L. James FOR Reddish,Substitution,,0,0,390
0022400408,552,PT06M11.00S,4,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,SUB: Jackson-Davis FOR Green,Substitution,,0,0,391
0022400408,553,PT06M01.00S,4,1610612747,LAL,2544,James,L. James,0,0,0,,0,,,0,v,L. James S.FOUL (P3.PN) (J.Butler),Foul,Shooting,1,0,392
0022400408,555,PT06M01.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,91,97,188,h,Wiggins Free Throw 1 of 2 (20 PTS),Free Throw,Free Throw 1 of 2,1,0,393
0022400408,556,PT06M01.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,92,97,189,h,Wiggins Free Throw 2 of 2 (21 PTS),Free Throw,Free Throw 2 of 2,1,0,394
0022400408,557,PT05M37.00S,4,1610612747,LAL,1629060,Hachimura,R. Hachimura,-5,130,13,Missed,1,,,0,v,MISS Hachimura 13' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,395
0022400408,558,PT05M34.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,,,0,h,Wiggins REBOUND (Off:4 Def:5),Rebound,Unknown,1,0,396
0022400408,559,PT05M24.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,,,0,h,Schroder Offensive Charge Foul (P2) (J.Van Duyne),Foul,Offensive Charge,1,0,397
0022400408,561,PT05M24.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,,,0,h,Schroder Offensive Foul Turnover (P1.T12),Turnover,Offensive Foul Turnover,1,0,398
0022400408,562,PT05M08.00S,4,1610612747,LAL,1629060,Hachimura,R. Hachimura,-190,175,26,Missed,1,,,0,v,MISS Hachimura 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,399
0022400408,563,PT05M05.00S,4,1610612744,GSW,1631218,Jackson-Davis,T. Jackson-Davis,0,0,0,,0,,,0,h,Jackson-Davis REBOUND (Off:3 Def:5),Rebound,Unknown,1,0,400
0022400408,564,PT04M58.00S,4,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent P.FOUL (P2.PN) (S.Foster),Foul,Personal,1,0,401
0022400408,566,PT04M58.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,93,97,190,h,Schroder Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,1,0,402
0022400408,567,PT04M58.00S,4,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,SUB: Green FOR Kuminga,Substitution,,0,0,403
0022400408,568,PT04M58.00S,4,1610612744,GSW,1641764,Podziemski,B. Podziemski,0,0,0,,0,,,0,h,SUB: Curry FOR Podziemski,Substitution,,0,0,404
0022400408,571,PT04M58.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,94,97,191,h,Schroder Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,1,0,405
0022400408,572,PT04M45.00S,4,1610612747,LAL,1630559,Reaves,A. Reaves,-175,214,28,Missed,1,,,0,v,MISS Reaves 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,406
0022400408,573,PT04M43.00S,4,1610612744,GSW,1631218,Jackson-Davis,T. Jackson-Davis,0,0,0,,0,,,0,h,Jackson-Davis REBOUND (Off:3 Def:6),Rebound,Unknown,1,0,407
0022400408,574,PT04M24.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,39,37,5,Missed,1,,,0,h,MISS Wiggins 5' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,408
0022400408,574,PT04M24.00S,4,1610612747,LAL,1629060,Hachimura,R. Hachimura,0,0,0,,0,,,0,v,Hachimura BLOCK (1 BLK),,,1,2,409
0022400408,575,PT04M23.00S,4,1610612747,LAL,2544,James,L. James,0,0,0,,0,,,0,v,L. James REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,410
0022400408,576,PT04M16.00S,4,1610612747,LAL,1630559,Reaves,A. Reaves,-176,210,27,Made,1,94,100,194,v,Reaves 27' 3PT Jump Shot (20 PTS) (Vincent 3 AST),Made Shot,Jump Shot,1,3,411
0022400408,578,PT03M55.00S,4,1610612744,GSW,201939,Curry,S. Curry,-28,22,4,Missed,1,,,0,h,MISS Curry 4' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,2,412
0022400408,579,PT03M52.00S,4,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,v,Vincent REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,413
0022400408,580,PT03M48.00S,4,1610612747,LAL,1630559,Reaves,A. Reaves,12,81,8,Made,1,94,102,196,v,Reaves 8' Driving Floating Jump Shot (22 PTS) (L. James 9 AST),Made Shot,Driving Floating Jump Shot,1,2,414
0022400408,582,PT03M48.00S,4,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Timeout: Regular (Full 5 Short 0),Timeout,Regular,0,0,415
0022400408,583,PT03M48.00S,4,1610612744,GSW,1631218,Jackson-Davis,T. Jackson-Davis,0,0,0,,0,,,0,h,SUB: Kuminga FOR Jackson-Davis,Substitution,,0,0,416
0022400408,585,PT03M40.00S,4,1610612744,GSW,201939,Curry,S. Curry,-217,125,25,Missed,1,,,0,h,MISS Curry 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,417
0022400408,586,PT03M40.00S,4,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,Green REBOUND (Off:3 Def:6),Rebound,Unknown,1,0,418
0022400408,587,PT03M35.00S,4,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,Green Out of Bounds - Bad Pass Turnover Turnover (P2.T13),Turnover,Out of Bounds - Bad Pass Turnover,1,0,419
